=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 113 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B0000365G8 | Datensatz: B0000365G8
ERROR | Datei: leipzig_transformed.xml | Zeile: 116 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0009VX4TE | Datensatz: B0009VX4TE
ERROR | Datei: leipzig_transformed.xml | Zeile: 116 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B9UHRG | Datensatz: B000B9UHRG
ERROR | Datei: leipzig_transformed.xml | Zeile: 119 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007ZIYWE | Datensatz: B0007ZIYWE
ERROR | Datei: leipzig_transformed.xml | Zeile: 121 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0001JZOKQ | Datensatz: B0001JZOKQ
ERROR | Datei: leipzig_transformed.xml | Zeile: 121 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0004FRW0C | Datensatz: B0004FRW0C
ERROR | Datei: leipzig_transformed.xml | Zeile: 121 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007D0A78 | Datensatz: B0007D0A78
ERROR | Datei: leipzig_transformed.xml | Zeile: 121 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000AGK9FU | Datensatz: B000AGK9FU
ERROR | Datei: leipzig_transformed.xml | Zeile: 124 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000BZSXT | Datensatz: B0000BZSXT
ERROR | Datei: leipzig_transformed.xml | Zeile: 124 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007SK9OM | Datensatz: B0007SK9OM
ERROR | Datei: leipzig_transformed.xml | Zeile: 124 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007SK9OW | Datensatz: B0007SK9OW
ERROR | Datei: leipzig_transformed.xml | Zeile: 125 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 347177274X | Datensatz: 347177274X
ERROR | Datei: leipzig_transformed.xml | Zeile: 125 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3473344273 | Datensatz: 3473344273
